92,207
97,206
102,206
107,204
113,204
118,203
124,202
129,201
135,200
140,199
145,198
151,198
156,198
161,197
166,196
171,196
177,196
183,195
188,195
193,195
198,195
201,196
203,191
206,186
208,181
210,176
212,171
213,166
215,161
215,155
216,149
217,144
217,138
217,132
217,126
217,120
216,114
215,109
213,103
211,97
210,91
208,85
206,80
205,75
202,70
200,65
197,61
193,57
190,53
186,49
182,46
178,42
173,39
168,37
163,34
158,32
153,31
148,31
143,31
138,31
133,31
128,32
123,34
119,36
114,39
110,42
107,45
103,48
99,51
96,54
93,58
90,61
88,65
85,68
83,72
81,76
79,80
77,85
75,90
74,95
73,100
71,105
70,110
69,115
69,120
69,125
69,130
69,135
69,140
70,145
70,150
71,155
71,160
73,165
74,171
76,176
77,181
79,186
82,191
85,195
87,199
89,202
