94,205
101,204
108,203
115,201
122,200
129,199
136,198
143,197
150,195
157,195
163,194
169,194
177,194
183,194
190,194
197,194
202,195
203,189
207,183
209,176
211,169
213,163
214,156
216,150
216,143
216,136
216,129
216,123
216,117
215,111
214,105
213,99
211,94
209,89
207,84
205,79
202,74
199,69
197,64
193,60
190,56
186,51
182,47
178,44
174,41
169,39
164,37
159,35
154,34
148,33
142,33
137,34
131,34
125,35
120,38
114,40
109,43
104,47
100,51
96,55
92,59
89,64
86,69
83,74
80,80
78,86
76,92
74,98
73,104
72,111
71,117
70,123
70,129
70,135
70,141
71,147
72,153
72,159
74,165
75,171
77,177
79,183
81,188
84,193
87,198
90,203
