75,198
75,191
75,184
74,178
75,172
75,166
75,160
75,153
75,146
74,140
74,134
75,128
75,122
75,117
75,111
76,106
78,101
79,96
81,91
83,86
86,81
88,76
92,71
95,67
100,63
104,59
109,55
115,52
121,49
127,47
133,46
140,45
146,45
153,46
159,49
165,51
171,55
177,58
182,62
187,67
191,72
195,77
198,83
202,89
204,95
206,101
208,107
208,113
208,120
209,127
209,134
209,141
209,148
209,155
209,161
209,167
209,173
210,179
209,185
210,191
209,196
209,199
204,198
199,196
193,195
187,193
181,192
175,191
169,191
163,191
158,190
153,190
147,190
142,190
136,190
130,190
124,190
118,191
112,192
107,192
102,193
97,195
91,195
85,196
80,198
